system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7534,1223,1299,8192,8528,8800,8993,8674,8387,8640,8212,8431,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.708992417818095,80.1071307140657]}"
1,6687,1115,1179,6996,7036,7056,7185,6775,6595,6632,6337,6568,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.740882610404338,80.10757987170777]}"
2,7553,1318,1432,7924,7924,7984,8147,7725,7541,7436,7259,7872,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.726868891972074,80.10488492585542]}"
3,7581,1259,1349,8068,8028,8036,7960,7566,7305,7492,7048,7220,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.81319699077596,80.0973390774688]}"
4,7543,1301,1397,8168,8216,8240,8279,8003,7696,7828,7461,7432,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.806549457673476,80.10263913764511]}"
5,7761,1496,1642,8552,8712,8888,9065,8634,8401,8616,8088,8450,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.71842472830135,80.10407644209971]}"
6,7689,1533,1648,8328,8384,8568,8864,8516,8281,8424,8064,8268,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.77870168386577,80.09697975135516]}"
7,7238,1190,1255,7340,7328,7516,7678,7332,7118,7072,6838,7228,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.78373224945684,80.10389677904288]}"
8,7875,1397,1469,8528,8920,9176,9462,9055,8791,9032,8569,8782,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.722826473193535,80.09985436026435]}"
9,7587,1276,1354,8456,8776,9040,9367,8856,8743,8728,8498,8533,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.731360468392673,80.10218998000305]}"
10,7589,1408,1460,8184,8200,8616,8834,8469,8160,8440,8056,8319,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.7571421170469,80.09850688733816]}"
11,7603,1218,1342,8148,8248,8496,8759,8358,8082,8124,7794,7961,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.742948735557814,80.11144262742948]}"
12,7971,1264,1358,8632,8944,9280,9479,9027,8782,9056,8577,8697,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.698212634408662,80.10416627362811]}"
13,7649,1146,1261,7880,7832,7876,8062,7657,7413,7284,7032,7303,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.814724126758964,80.09662042524151]}"
14,6724,1179,1279,7040,7104,7152,7434,7123,6883,6812,6580,6785,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.738367327608803,80.10695105100889]}"
15,7750,1170,1239,8432,8664,8960,9082,8791,8556,8568,8416,8073,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.68392942139116,80.10263913764511]}"
16,7974,1364,1435,8512,8840,8968,9275,8990,8668,8832,8531,8787,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.705848314323678,80.09437463703121]}"
17,7749,1233,1294,8272,8552,8968,9299,8912,8811,8840,8630,8794,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.704949999039556,80.09787806663928]}"
18,7831,1247,1314,8560,8976,9216,9426,9182,8892,9160,8678,8847,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.69219392200506,80.10147132777576]}"
19,8077,1322,1397,8888,9240,9528,9731,9316,9097,9256,8827,9103,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.712585678954575,80.09805772969611]}"
20,7565,1436,1546,7816,7928,8128,8602,8141,8088,8004,7771,8246,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.77169482464964,80.09706958288358]}"
21,7409,1182,1283,7780,7940,8052,8387,8053,7762,7632,7597,7799,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.74699115433635,80.10443576821335]}"
22,7831,1340,1455,8400,8496,8816,9138,8703,8422,8496,8321,8517,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.68527689431734,80.10111200166212]}"
23,6800,1262,1353,7080,6952,7032,7213,6872,6608,6664,6461,6693,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.756513296348018,80.1070408825373]}"
24,7548,1267,1335,8092,8496,8832,9091,8817,8598,8840,8459,8715,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.69354139493124,80.09985436026435]}"
