system:index,ALGAL_AREA_ABOVE_SNOWLINE_KM2,ALGAL_AREA_KM2,name,subregionOf,year,.geo
2019northAmericaMaxCompThresh02_00000000000000000001,61.346493039047346,110.81824659579434,alaskaRange,northAmerica,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019northAmericaMaxCompThresh02_00000000000000000002,120.92418325797189,227.72964315698482,coastNorth,northAmerica,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019northAmericaMaxCompThresh02_00000000000000000003,186.80180217861198,381.54771334060933,coastSouth,northAmerica,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019northAmericaMaxCompThresh02_00000000000000000004,17.63945854571648,30.927449656068347,interiorNorth,northAmerica,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019northAmericaMaxCompThresh02_00000000000000000005,49.49599303479772,126.2391766095534,interiorSouth,northAmerica,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020northAmericaMaxCompThresh02_00000000000000000001,255.76124183065258,611.9464929542737,alaskaRange,northAmerica,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020northAmericaMaxCompThresh02_00000000000000000002,238.62278659036383,562.5004067043774,coastNorth,northAmerica,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020northAmericaMaxCompThresh02_00000000000000000003,155.90631468431093,333.89218030450866,coastSouth,northAmerica,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020northAmericaMaxCompThresh02_00000000000000000004,11.712539373897016,41.06022851285525,interiorNorth,northAmerica,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020northAmericaMaxCompThresh02_00000000000000000005,71.97052074363455,222.2070054524811,interiorSouth,northAmerica,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021northAmericaMaxCompThresh02_00000000000000000001,73.41302376159001,149.30494966136757,alaskaRange,northAmerica,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021northAmericaMaxCompThresh02_00000000000000000002,186.7546204762766,392.0555608556606,coastNorth,northAmerica,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021northAmericaMaxCompThresh02_00000000000000000003,90.68972282775212,221.7749012260465,coastSouth,northAmerica,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021northAmericaMaxCompThresh02_00000000000000000004,12.322769179125316,28.4347634826554,interiorNorth,northAmerica,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021northAmericaMaxCompThresh02_00000000000000000005,28.813756958814338,59.6414425871335,interiorSouth,northAmerica,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022northAmericaMaxCompThresh02_00000000000000000001,0.09195897809695452,68.26277902221773,alaskaRange,northAmerica,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022northAmericaMaxCompThresh02_00000000000000000002,0.29778925236314535,276.59955842862837,coastNorth,northAmerica,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022northAmericaMaxCompThresh02_00000000000000000003,0.4128296304261312,507.74958107538987,coastSouth,northAmerica,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022northAmericaMaxCompThresh02_00000000000000000004,0.003697032923810184,70.17863642948214,interiorNorth,northAmerica,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022northAmericaMaxCompThresh02_00000000000000000005,0.007677047397010028,165.39790679770522,interiorSouth,northAmerica,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
